Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Arkansas,05,77 years,77,2022,2022,19366
Total,Arkansas,05,77 years,77,,,59703
,Arkansas,05,78 years,78,2020,2020,17681
,Arkansas,05,78 years,78,2021,2021,19602
,Arkansas,05,78 years,78,2022,2022,18607
Total,Arkansas,05,78 years,78,,,55890
,Arkansas,05,79 years,79,2020,2020,16097
,Arkansas,05,79 years,79,2021,2021,16573
,Arkansas,05,79 years,79,2022,2022,18416
Total,Arkansas,05,79 years,79,,,51086
,Arkansas,05,80 years,80,2020,2020,14834
,Arkansas,05,80 years,80,2021,2021,15096
,Arkansas,05,80 years,80,2022,2022,15550
Total,Arkansas,05,80 years,80,,,45480
,Arkansas,05,81 years,81,2020,2020,13598
,Arkansas,05,81 years,81,2021,2021,13866
,Arkansas,05,81 years,81,2022,2022,14105
Total,Arkansas,05,81 years,81,,,41569
,Arkansas,05,82 years,82,2020,2020,12527
,Arkansas,05,82 years,82,2021,2021,12661
,Arkansas,05,82 years,82,2022,2022,12926
Total,Arkansas,05,82 years,82,,,38114
,Arkansas,05,83 years,83,2020,2020,11018
,Arkansas,05,83 years,83,2021,2021,11467
,Arkansas,05,83 years,83,2022,2022,11600
Total,Arkansas,05,83 years,83,,,34085
,Arkansas,05,84 years,84,2020,2020,10140
,Arkansas,05,84 years,84,2021,2021,10012
,Arkansas,05,84 years,84,2022,2022,10459
Total,Arkansas,05,84 years,84,,,30611
,Arkansas,05,85+ years,85+,2020,2020,59089
,Arkansas,05,85+ years,85+,2021,2021,58707
,Arkansas,05,85+ years,85+,2022,2022,58317
Total,Arkansas,05,85+ years,85+,,,176113
Total,Arkansas,05,,,,,9087954
,California,06,< 1 year,0,2020,2020,432762
,California,06,< 1 year,0,2021,2021,411583
,California,06,< 1 year,0,2022,2022,425149
Total,California,06,< 1 year,0,,,1269494
,California,06,1 year,1,2020,2020,440463
,California,06,1 year,1,2021,2021,427194
,California,06,1 year,1,2022,2022,407106
Total,California,06,1 year,1,,,1274763
,California,06,2 years,2,2020,2020,450987
,California,06,2 years,2,2021,2021,435101
,California,06,2 years,2,2022,2022,423040
Total,California,06,2 years,2,,,1309128
,California,06,3 years,3,2020,2020,466679
,California,06,3 years,3,2021,2021,446336
,California,06,3 years,3,2022,2022,430701
Total,California,06,3 years,3,,,1343716
,California,06,4 years,4,2020,2020,478249
,California,06,4 years,4,2021,2021,462100
,California,06,4 years,4,2022,2022,441768
Total,California,06,4 years,4,,,1382117
,California,06,5 years,5,2020,2020,485736
,California,06,5 years,5,2021,2021,473940
,California,06,5 years,5,2022,2022,458025
Total,California,06,5 years,5,,,1417701
,California,06,6 years,6,2020,2020,484711
,California,06,6 years,6,2021,2021,481118
,California,06,6 years,6,2022,2022,469417
Total,California,06,6 years,6,,,1435246
,California,06,7 years,7,2020,2020,485452
,California,06,7 years,7,2021,2021,480548
,California,06,7 years,7,2022,2022,476874
Total,California,06,7 years,7,,,1442874
,California,06,8 years,8,2020,2020,486043
,California,06,8 years,8,2021,2021,481307
,California,06,8 years,8,2022,2022,476454
Total,California,06,8 years,8,,,1443804
,California,06,9 years,9,2020,2020,493457
,California,06,9 years,9,2021,2021,482165
,California,06,9 years,9,2022,2022,477398
Total,California,06,9 years,9,,,1453020
,California,06,10 years,10,2020,2020,498512
,California,06,10 years,10,2021,2021,489598
,California,06,10 years,10,2022,2022,478124
Total,California,06,10 years,10,,,1466234
,California,06,11 years,11,2020,2020,506294
,California,06,11 years,11,2021,2021,494918
,California,06,11 years,11,2022,2022,485870
Total,California,06,11 years,11,,,1487082
,California,06,12 years,12,2020,2020,528644
,California,06,12 years,12,2021,2021,502517
,California,06,12 years,12,2022,2022,491255
Total,California,06,12 years,12,,,1522416
,California,06,13 years,13,2020,2020,527273
,California,06,13 years,13,2021,2021,524865
,California,06,13 years,13,2022,2022,499146
Total,California,06,13 years,13,,,1551284
,California,06,14 years,14,2020,2020,517728
,California,06,14 years,14,2021,2021,523953
,California,06,14 years,14,2022,2022,521730
Total,California,06,14 years,14,,,1563411
,California,06,15 years,15,2020,2020,512338
,California,06,15 years,15,2021,2021,514997
,California,06,15 years,15,2022,2022,521347
Total,California,06,15 years,15,,,1548682
,California,06,16 years,16,2020,2020,513219
,California,06,16 years,16,2021,2021,509823
,California,06,16 years,16,2022,2022,513196
Total,California,06,16 years,16,,,1536238
,California,06,17 years,17,2020,2020,509692
,California,06,17 years,17,2021,2021,510805
,California,06,17 years,17,2022,2022,509427
Total,California,06,17 years,17,,,1529924
,California,06,18 years,18,2020,2020,536584
,California,06,18 years,18,2021,2021,494565
,California,06,18 years,18,2022,2022,520895
Total,California,06,18 years,18,,,1552044
,California,06,19 years,19,2020,2020,557016
,California,06,19 years,19,2021,2021,486732
,California,06,19 years,19,2022,2022,499750
Total,California,06,19 years,19,,,1543498
,California,06,20 years,20,2020,2020,547877
,California,06,20 years,20,2021,2021,536760
,California,06,20 years,20,2022,2022,513436
Total,California,06,20 years,20,,,1598073
,California,06,21 years,21,2020,2020,525639
,California,06,21 years,21,2021,2021,533177
,California,06,21 years,21,2022,2022,547773
Total,California,06,21 years,21,,,1606589
,California,06,22 years,22,2020,2020,521503
,California,06,22 years,22,2021,2021,518194
,California,06,22 years,22,2022,2022,541069
Total,California,06,22 years,22,,,1580766
,California,06,23 years,23,2020,2020,527700
,California,06,23 years,23,2021,2021,519508
,California,06,23 years,23,2022,2022,525462
Total,California,06,23 years,23,,,1572670
,California,06,24 years,24,2020,2020,539729
,California,06,24 years,24,2021,2021,524764
,California,06,24 years,24,2022,2022,523594
Total,California,06,24 years,24,,,1588087
,California,06,25 years,25,2020,2020,555598
,California,06,25 years,25,2021,2021,536328
,California,06,25 years,25,2022,2022,527680
Total,California,06,25 years,25,,,1619606
,California,06,26 years,26,2020,2020,571646
,California,06,26 years,26,2021,2021,551057
,California,06,26 years,26,2022,2022,537535
Total,California,06,26 years,26,,,1660238
,California,06,27 years,27,2020,2020,583857
,California,06,27 years,27,2021,2021,566778
,California,06,27 years,27,2022,2022,551729
Total,California,06,27 years,27,,,1702364
,California,06,28 years,28,2020,2020,604865
,California,06,28 years,28,2021,2021,577297
,California,06,28 years,28,2022,2022,565526
Total,California,06,28 years,28,,,1747688
,California,06,29 years,29,2020,2020,622914
,California,06,29 years,29,2021,2021,597656
,California,06,29 years,29,2022,2022,575297
Total,California,06,29 years,29,,,1795867
,California,06,30 years,30,2020,2020,627849
,California,06,30 years,30,2021,2021,615474
,California,06,30 years,30,2022,2022,594331
Total,California,06,30 years,30,,,1837654
,California,06,31 years,31,2020,2020,606417
,California,06,31 years,31,2021,2021,619092
,California,06,31 years,31,2022,2022,610476
Total,California,06,31 years,31,,,1835985
,California,06,32 years,32,2020,2020,593710
,California,06,32 years,32,2021,2021,598369
,California,06,32 years,32,2022,2022,613871
Total,California,06,32 years,32,,,1805950
,California,06,33 years,33,2020,2020,580453
,California,06,33 years,33,2021,2021,585303
,California,06,33 years,33,2022,2022,592186
Total,California,06,33 years,33,,,1757942
,California,06,34 years,34,2020,2020,576205
,California,06,34 years,34,2021,2021,572449
,California,06,34 years,34,2022,2022,578720
Total,California,06,34 years,34,,,1727374
,California,06,35 years,35,2020,2020,573398
,California,06,35 years,35,2021,2021,569148
,California,06,35 years,35,2022,2022,566395
Total,California,06,35 years,35,,,1708941
,California,06,36 years,36,2020,2020,560578
,California,06,36 years,36,2021,2021,565483
,California,06,36 years,36,2022,2022,561812
Total,California,06,36 years,36,,,1687873
,California,06,37 years,37,2020,2020,565144
,California,06,37 years,37,2021,2021,553453
,California,06,37 years,37,2022,2022,558395
Total,California,06,37 years,37,,,1676992
,California,06,38 years,38,2020,2020,561893
,California,06,38 years,38,2021,2021,557856
,California,06,38 years,38,2022,2022,546574
Total,California,06,38 years,38,,,1666323
,California,06,39 years,39,2020,2020,548150
,California,06,39 years,39,2021,2021,554521
,California,06,39 years,39,2022,2022,550713
Total,California,06,39 years,39,,,1653384
,California,06,40 years,40,2020,2020,543798
,California,06,40 years,40,2021,2021,542363
,California,06,40 years,40,2022,2022,548371
Total,California,06,40 years,40,,,1634532
,California,06,41 years,41,2020,2020,516136
,California,06,41 years,41,2021,2021,535813
,California,06,41 years,41,2022,2022,534372
Total,California,06,41 years,41,,,1586321
,California,06,42 years,42,2020,2020,504538
,California,06,42 years,42,2021,2021,509594
,California,06,42 years,42,2022,2022,529035
Total,California,06,42 years,42,,,1543167
,California,06,43 years,43,2020,2020,500335
,California,06,43 years,43,2021,2021,498534
,California,06,43 years,43,2022,2022,502635
Total,California,06,43 years,43,,,1501504
,California,06,44 years,44,2020,2020,489730
,California,06,44 years,44,2021,2021,494603
,California,06,44 years,44,2022,2022,492346
Total,California,06,44 years,44,,,1476679
,California,06,45 years,45,2020,2020,495018
,California,06,45 years,45,2021,2021,485219
,California,06,45 years,45,2022,2022,489227
Total,California,06,45 years,45,,,1469464
,California,06,46 years,46,2020,2020,484462
,California,06,46 years,46,2021,2021,489073
,California,06,46 years,46,2022,2022,478988
Total,California,06,46 years,46,,,1452523
,California,06,47 years,47,2020,2020,485122
,California,06,47 years,47,2021,2021,479003
,California,06,47 years,47,2022,2022,482876
Total,California,06,47 years,47,,,1447001
,California,06,48 years,48,2020,2020,499315
,California,06,48 years,48,2021,2021,480255
,California,06,48 years,48,2022,2022,473597
Total,California,06,48 years,48,,,1453167
,California,06,49 years,49,2020,2020,523222
,California,06,49 years,49,2021,2021,492976
,California,06,49 years,49,2022,2022,473649
Total,California,06,49 years,49,,,1489847
,California,06,50 years,50,2020,2020,524865
,California,06,50 years,50,2021,2021,517592
,California,06,50 years,50,2022,2022,487046
Total,California,06,50 years,50,,,1529503
,California,06,51 years,51,2020,2020,504582
,California,06,51 years,51,2021,2021,516806
,California,06,51 years,51,2022,2022,508825
Total,California,06,51 years,51,,,1530213
,California,06,52 years,52,2020,2020,491349
,California,06,52 years,52,2021,2021,498154
,California,06,52 years,52,2022,2022,509143
Total,California,06,52 years,52,,,1498646
,California,06,53 years,53,2020,2020,482372
,California,06,53 years,53,2021,2021,484201
,California,06,53 years,53,2022,2022,490492
Total,California,06,53 years,53,,,1457065
,California,06,54 years,54,2020,2020,485221
,California,06,54 years,54,2021,2021,475362
,California,06,54 years,54,2022,2022,476438
Total,California,06,54 years,54,,,1437021
,California,06,55 years,55,2020,2020,499245
,California,06,55 years,55,2021,2021,478227
,California,06,55 years,55,2022,2022,468184
Total,California,06,55 years,55,,,1445656
,California,06,56 years,56,2020,2020,504753
,California,06,56 years,56,2021,2021,490447
,California,06,56 years,56,2022,2022,468733
Total,California,06,56 years,56,,,1463933
,California,06,57 years,57,2020,2020,501141
,California,06,57 years,57,2021,2021,495504
,California,06,57 years,57,2022,2022,480797
Total,California,06,57 years,57,,,1477442
,California,06,58 years,58,2020,2020,497173
,California,06,58 years,58,2021,2021,492074
,California,06,58 years,58,2022,2022,486055
Total,California,06,58 years,58,,,1475302
,California,06,59 years,59,2020,2020,492398
,California,06,59 years,59,2021,2021,488102
,California,06,59 years,59,2022,2022,481911
Total,California,06,59 years,59,,,1462411
,California,06,60 years,60,2020,2020,488247
,California,06,60 years,60,2021,2021,482858
,California,06,60 years,60,2022,2022,478257
Total,California,06,60 years,60,,,1449362
,California,06,61 years,61,2020,2020,469598
,California,06,61 years,61,2021,2021,476937
,California,06,61 years,61,2022,2022,471304
Total,California,06,61 years,61,,,1417839
,California,06,62 years,62,2020,2020,461394
,California,06,62 years,62,2021,2021,459048
,California,06,62 years,62,2022,2022,466010
Total,California,06,62 years,62,,,1386452
,California,06,63 years,63,2020,2020,449416
,California,06,63 years,63,2021,2021,450340
,California,06,63 years,63,2022,2022,447585
Total,California,06,63 years,63,,,1347341
,California,06,64 years,64,2020,2020,429625
,California,06,64 years,64,2021,2021,438006
,California,06,64 years,64,2022,2022,438473
Total,California,06,64 years,64,,,1306104
,California,06,65 years,65,2020,2020,419867
,California,06,65 years,65,2021,2021,419195
,California,06,65 years,65,2022,2022,427193
Total,California,06,65 years,65,,,1266255
,California,06,66 years,66,2020,2020,400750
,California,06,66 years,66,2021,2021,409017
,California,06,66 years,66,2022,2022,407531
Total,California,06,66 years,66,,,1217298
,California,06,67 years,67,2020,2020,381603
,California,06,67 years,67,2021,2021,390371
,California,06,67 years,67,2022,2022,397755
Total,California,06,67 years,67,,,1169729
,California,06,68 years,68,2020,2020,363303
,California,06,68 years,68,2021,2021,371997
,California,06,68 years,68,2022,2022,379814
Total,California,06,68 years,68,,,1115114
,California,06,69 years,69,2020,2020,345996
,California,06,69 years,69,2021,2021,354114
,California,06,69 years,69,2022,2022,361836
Total,California,06,69 years,69,,,1061946
,California,06,70 years,70,2020,2020,334707
,California,06,70 years,70,2021,2021,336968
,California,06,70 years,70,2022,2022,344565
Total,California,06,70 years,70,,,1016240
,California,06,71 years,71,2020,2020,320992
,California,06,71 years,71,2021,2021,326123
,California,06,71 years,71,2022,2022,328120
Total,California,06,71 years,71,,,975235
,California,06,72 years,72,2020,2020,311322
,California,06,72 years,72,2021,2021,312140
,California,06,72 years,72,2022,2022,317414
Total,California,06,72 years,72,,,940876
,California,06,73 years,73,2020,2020,321629
,California,06,73 years,73,2021,2021,302251
,California,06,73 years,73,2022,2022,303467
Total,California,06,73 years,73,,,927347
,California,06,74 years,74,2020,2020,240181
,California,06,74 years,74,2021,2021,311533
,California,06,74 years,74,2022,2022,293193
Total,California,06,74 years,74,,,844907
,California,06,75 years,75,2020,2020,230288
,California,06,75 years,75,2021,2021,232488
,California,06,75 years,75,2022,2022,301770
Total,California,06,75 years,75,,,764546
,California,06,76 years,76,2020,2020,218667
,California,06,76 years,76,2021,2021,222382
,California,06,76 years,76,2022,2022,224921
Total,California,06,76 years,76,,,665970
,California,06,77 years,77,2020,2020,214147
,California,06,77 years,77,2021,2021,210552
,California,06,77 years,77,2022,2022,214739
Total,California,06,77 years,77,,,639438
,California,06,78 years,78,2020,2020,186171
,California,06,78 years,78,2021,2021,205307
,California,06,78 years,78,2022,2022,202544
Total,California,06,78 years,78,,,594022
,California,06,79 years,79,2020,2020,169089
,California,06,79 years,79,2021,2021,178264
,California,06,79 years,79,2022,2022,196978
Total,California,06,79 years,79,,,544331
,California,06,80 years,80,2020,2020,157633
,California,06,80 years,80,2021,2021,161034
,California,06,80 years,80,2022,2022,170455
Total,California,06,80 years,80,,,489122
,California,06,81 years,81,2020,2020,146167
,California,06,81 years,81,2021,2021,149311
,California,06,81 years,81,2022,2022,153221
Total,California,06,81 years,81,,,448699
,California,06,82 years,82,2020,2020,136772
,California,06,82 years,82,2021,2021,137707
,California,06,82 years,82,2022,2022,141530
Total,California,06,82 years,82,,,416009
,California,06,83 years,83,2020,2020,123382
,California,06,83 years,83,2021,2021,127803
,California,06,83 years,83,2022,2022,129529
Total,California,06,83 years,83,,,380714
,California,06,84 years,84,2020,2020,114080
,California,06,84 years,84,2021,2021,114815
,California,06,84 years,84,2022,2022,119745
Total,California,06,84 years,84,,,348640
,California,06,85+ years,85+,2020,2020,734888
,California,06,85+ years,85+,2021,2021,731696
,California,06,85+ years,85+,2022,2022,739427
Total,California,06,85+ years,85+,,,2206011
Total,California,06,,,,,117673986
,Colorado,08,< 1 year,0,2020,2020,61767
,Colorado,08,< 1 year,0,2021,2021,61833
,Colorado,08,< 1 year,0,2022,2022,62867
Total,Colorado,08,< 1 year,0,,,186467
,Colorado,08,1 year,1,2020,2020,61521
,Colorado,08,1 year,1,2021,2021,61419
,Colorado,08,1 year,1,2022,2022,61287
Total,Colorado,08,1 year,1,,,184227
,Colorado,08,2 years,2,2020,2020,62916
,Colorado,08,2 years,2,2021,2021,61276
,Colorado,08,2 years,2,2022,2022,61203
Total,Colorado,08,2 years,2,,,185395
,Colorado,08,3 years,3,2020,2020,64733
,Colorado,08,3 years,3,2021,2021,62852
,Colorado,08,3 years,3,2022,2022,61031
Total,Colorado,08,3 years,3,,,188616
,Colorado,08,4 years,4,2020,2020,66746
,Colorado,08,4 years,4,2021,2021,64748
,Colorado,08,4 years,4,2022,2022,62632
Total,Colorado,08,4 years,4,,,194126
,Colorado,08,5 years,5,2020,2020,67432
,Colorado,08,5 years,5,2021,2021,66689
,Colorado,08,5 years,5,2022,2022,64383
Total,Colorado,08,5 years,5,,,198504
,Colorado,08,6 years,6,2020,2020,67326
,Colorado,08,6 years,6,2021,2021,67420
,Colorado,08,6 years,6,2022,2022,66584
Total,Colorado,08,6 years,6,,,201330
,Colorado,08,7 years,7,2020,2020,67028
,Colorado,08,7 years,7,2021,2021,67303
,Colorado,08,7 years,7,2022,2022,67216
Total,Colorado,08,7 years,7,,,201547
,Colorado,08,8 years,8,2020,2020,67714
,Colorado,08,8 years,8,2021,2021,66984
,Colorado,08,8 years,8,2022,2022,67207
Total,Colorado,08,8 years,8,,,201905
,Colorado,08,9 years,9,2020,2020,69245
,Colorado,08,9 years,9,2021,2021,67514
,Colorado,08,9 years,9,2022,2022,66703
Total,Colorado,08,9 years,9,,,203462
,Colorado,08,10 years,10,2020,2020,71386
,Colorado,08,10 years,10,2021,2021,69066
,Colorado,08,10 years,10,2022,2022,67209
Total,Colorado,08,10 years,10,,,207661
,Colorado,08,11 years,11,2020,2020,72801
,Colorado,08,11 years,11,2021,2021,71176
,Colorado,08,11 years,11,2022,2022,68629
Total,Colorado,08,11 years,11,,,212606
,Colorado,08,12 years,12,2020,2020,75164
,Colorado,08,12 years,12,2021,2021,72276
,Colorado,08,12 years,12,2022,2022,70774
Total,Colorado,08,12 years,12,,,218214
,Colorado,08,13 years,13,2020,2020,75265
,Colorado,08,13 years,13,2021,2021,74898
,Colorado,08,13 years,13,2022,2022,71921
Total,Colorado,08,13 years,13,,,222084
,Colorado,08,14 years,14,2020,2020,74284
,Colorado,08,14 years,14,2021,2021,74902
,Colorado,08,14 years,14,2022,2022,74487
Total,Colorado,08,14 years,14,,,223673
,Colorado,08,15 years,15,2020,2020,73837
,Colorado,08,15 years,15,2021,2021,74039
,Colorado,08,15 years,15,2022,2022,74510
Total,Colorado,08,15 years,15,,,222386
,Colorado,08,16 years,16,2020,2020,74394
,Colorado,08,16 years,16,2021,2021,73605
,Colorado,08,16 years,16,2022,2022,73653
Total,Colorado,08,16 years,16,,,221652
,Colorado,08,17 years,17,2020,2020,73415
,Colorado,08,17 years,17,2021,2021,74116
,Colorado,08,17 years,17,2022,2022,73279
Total,Colorado,08,17 years,17,,,220810
,Colorado,08,18 years,18,2020,2020,77392
,Colorado,08,18 years,18,2021,2021,74225
,Colorado,08,18 years,18,2022,2022,75516
Total,Colorado,08,18 years,18,,,227133
,Colorado,08,19 years,19,2020,2020,83548
,Colorado,08,19 years,19,2021,2021,76810
,Colorado,08,19 years,19,2022,2022,76171
Total,Colorado,08,19 years,19,,,236529
,Colorado,08,20 years,20,2020,2020,78928
,Colorado,08,20 years,20,2021,2021,79680
,Colorado,08,20 years,20,2022,2022,75771
Total,Colorado,08,20 years,20,,,234379
,Colorado,08,21 years,21,2020,2020,75957
,Colorado,08,21 years,21,2021,2021,79245
,Colorado,08,21 years,21,2022,2022,81111
Total,Colorado,08,21 years,21,,,236313
,Colorado,08,22 years,22,2020,2020,76244
,Colorado,08,22 years,22,2021,2021,78174
,Colorado,08,22 years,22,2022,2022,82028
Total,Colorado,08,22 years,22,,,236446
,Colorado,08,23 years,23,2020,2020,77237
,Colorado,08,23 years,23,2021,2021,78595
,Colorado,08,23 years,23,2022,2022,81219
Total,Colorado,08,23 years,23,,,237051
,Colorado,08,24 years,24,2020,2020,79389
,Colorado,08,24 years,24,2021,2021,80141
,Colorado,08,24 years,24,2022,2022,82241
Total,Colorado,08,24 years,24,,,241771
,Colorado,08,25 years,25,2020,2020,83359
,Colorado,08,25 years,25,2021,2021,82773
,Colorado,08,25 years,25,2022,2022,84579
Total,Colorado,08,25 years,25,,,250711
,Colorado,08,26 years,26,2020,2020,86662
,Colorado,08,26 years,26,2021,2021,85892
,Colorado,08,26 years,26,2022,2022,86358
Total,Colorado,08,26 years,26,,,258912
,Colorado,08,27 years,27,2020,2020,89682
,Colorado,08,27 years,27,2021,2021,88821
,Colorado,08,27 years,27,2022,2022,88683
Total,Colorado,08,27 years,27,,,267186
,Colorado,08,28 years,28,2020,2020,92805
,Colorado,08,28 years,28,2021,2021,91721
,Colorado,08,28 years,28,2022,2022,91433
Total,Colorado,08,28 years,28,,,275959
,Colorado,08,29 years,29,2020,2020,93787
,Colorado,08,29 years,29,2021,2021,94236
,Colorado,08,29 years,29,2022,2022,93581
Total,Colorado,08,29 years,29,,,281604
,Colorado,08,30 years,30,2020,2020,93875
,Colorado,08,30 years,30,2021,2021,94959
,Colorado,08,30 years,30,2022,2022,95917
Total,Colorado,08,30 years,30,,,284751
,Colorado,08,31 years,31,2020,2020,91154
,Colorado,08,31 years,31,2021,2021,94969
,Colorado,08,31 years,31,2022,2022,96131
Total,Colorado,08,31 years,31,,,282254
,Colorado,08,32 years,32,2020,2020,89915
,Colorado,08,32 years,32,2021,2021,91536
,Colorado,08,32 years,32,2022,2022,95728
Total,Colorado,08,32 years,32,,,277179
,Colorado,08,33 years,33,2020,2020,89973
,Colorado,08,33 years,33,2021,2021,90643
,Colorado,08,33 years,33,2022,2022,92160
Total,Colorado,08,33 years,33,,,272776
,Colorado,08,34 years,34,2020,2020,90174
,Colorado,08,34 years,34,2021,2021,89998
,Colorado,08,34 years,34,2022,2022,90911
Total,Colorado,08,34 years,34,,,271083
,Colorado,08,35 years,35,2020,2020,89483
,Colorado,08,35 years,35,2021,2021,90616
,Colorado,08,35 years,35,2022,2022,90065
Total,Colorado,08,35 years,35,,,270164
,Colorado,08,36 years,36,2020,2020,86715
,Colorado,08,36 years,36,2021,2021,89339
,Colorado,08,36 years,36,2022,2022,90531
Total,Colorado,08,36 years,36,,,266585
,Colorado,08,37 years,37,2020,2020,87018
,Colorado,08,37 years,37,2021,2021,86855
,Colorado,08,37 years,37,2022,2022,89112
Total,Colorado,08,37 years,37,,,262985
,Colorado,08,38 years,38,2020,2020,85989
,Colorado,08,38 years,38,2021,2021,87098
,Colorado,08,38 years,38,2022,2022,86543
Total,Colorado,08,38 years,38,,,259630
,Colorado,08,39 years,39,2020,2020,84470
,Colorado,08,39 years,39,2021,2021,85922
,Colorado,08,39 years,39,2022,2022,86850
Total,Colorado,08,39 years,39,,,257242
,Colorado,08,40 years,40,2020,2020,82865
,Colorado,08,40 years,40,2021,2021,84028
,Colorado,08,40 years,40,2022,2022,85491
Total,Colorado,08,40 years,40,,,252384
,Colorado,08,41 years,41,2020,2020,78647
,Colorado,08,41 years,41,2021,2021,82659
,Colorado,08,41 years,41,2022,2022,83739
Total,Colorado,08,41 years,41,,,245045
,Colorado,08,42 years,42,2020,2020,76339
,Colorado,08,42 years,42,2021,2021,78363
,Colorado,08,42 years,42,2022,2022,82124
Total,Colorado,08,42 years,42,,,236826
,Colorado,08,43 years,43,2020,2020,74744
,Colorado,08,43 years,43,2021,2021,76096
,Colorado,08,43 years,43,2022,2022,77841
Total,Colorado,08,43 years,43,,,228681
,Colorado,08,44 years,44,2020,2020,71571
,Colorado,08,44 years,44,2021,2021,74295
,Colorado,08,44 years,44,2022,2022,75472
Total,Colorado,08,44 years,44,,,221338
,Colorado,08,45 years,45,2020,2020,72228
,Colorado,08,45 years,45,2021,2021,71293
,Colorado,08,45 years,45,2022,2022,73777
Total,Colorado,08,45 years,45,,,217298
,Colorado,08,46 years,46,2020,2020,70191
,Colorado,08,46 years,46,2021,2021,71911
,Colorado,08,46 years,46,2022,2022,70557
Total,Colorado,08,46 years,46,,,212659
,Colorado,08,47 years,47,2020,2020,70048
,Colorado,08,47 years,47,2021,2021,69826
,Colorado,08,47 years,47,2022,2022,71251
Total,Colorado,08,47 years,47,,,211125
,Colorado,08,48 years,48,2020,2020,72676
,Colorado,08,48 years,48,2021,2021,69456
,Colorado,08,48 years,48,2022,2022,69098
Total,Colorado,08,48 years,48,,,211230
,Colorado,08,49 years,49,2020,2020,76590
,Colorado,08,49 years,49,2021,2021,72032
,Colorado,08,49 years,49,2022,2022,68550
Total,Colorado,08,49 years,49,,,217172
,Colorado,08,50 years,50,2020,2020,74994
,Colorado,08,50 years,50,2021,2021,76040
,Colorado,08,50 years,50,2022,2022,71346
Total,Colorado,08,50 years,50,,,222380
,Colorado,08,51 years,51,2020,2020,71444
,Colorado,08,51 years,51,2021,2021,74485
,Colorado,08,51 years,51,2022,2022,75288
Total,Colorado,08,51 years,51,,,221217
,Colorado,08,52 years,52,2020,2020,67726
,Colorado,08,52 years,52,2021,2021,70610
,Colorado,08,52 years,52,2022,2022,73409
Total,Colorado,08,52 years,52,,,211745
,Colorado,08,53 years,53,2020,2020,66040
,Colorado,08,53 years,53,2021,2021,67045
,Colorado,08,53 years,53,2022,2022,69805
Total,Colorado,08,53 years,53,,,202890
,Colorado,08,54 years,54,2020,2020,65921
,Colorado,08,54 years,54,2021,2021,65351
,Colorado,08,54 years,54,2022,2022,66070
Total,Colorado,08,54 years,54,,,197342
,Colorado,08,55 years,55,2020,2020,68938
,Colorado,08,55 years,55,2021,2021,65521
,Colorado,08,55 years,55,2022,2022,64485
Total,Colorado,08,55 years,55,,,198944
,Colorado,08,56 years,56,2020,2020,71055
,Colorado,08,56 years,56,2021,2021,68151
,Colorado,08,56 years,56,2022,2022,64565
Total,Colorado,08,56 years,56,,,203771
,Colorado,08,57 years,57,2020,2020,71697
,Colorado,08,57 years,57,2021,2021,70327
,Colorado,08,57 years,57,2022,2022,67125
Total,Colorado,08,57 years,57,,,209149
,Colorado,08,58 years,58,2020,2020,72866
,Colorado,08,58 years,58,2021,2021,70984
,Colorado,08,58 years,58,2022,2022,69259
Total,Colorado,08,58 years,58,,,213109
,Colorado,08,59 years,59,2020,2020,73295
,Colorado,08,59 years,59,2021,2021,71969
,Colorado,08,59 years,59,2022,2022,69821
Total,Colorado,08,59 years,59,,,215085
,Colorado,08,60 years,60,2020,2020,72123
,Colorado,08,60 years,60,2021,2021,72460
,Colorado,08,60 years,60,2022,2022,70856
Total,Colorado,08,60 years,60,,,215439
,Colorado,08,61 years,61,2020,2020,70892
,Colorado,08,61 years,61,2021,2021,71159
,Colorado,08,61 years,61,2022,2022,71269
Total,Colorado,08,61 years,61,,,213320
,Colorado,08,62 years,62,2020,2020,70275
,Colorado,08,62 years,62,2021,2021,69892
,Colorado,08,62 years,62,2022,2022,70002
Total,Colorado,08,62 years,62,,,210169
,Colorado,08,63 years,63,2020,2020,69103
,Colorado,08,63 years,63,2021,2021,69221
,Colorado,08,63 years,63,2022,2022,68579
Total,Colorado,08,63 years,63,,,206903
,Colorado,08,64 years,64,2020,2020,66252
,Colorado,08,64 years,64,2021,2021,67994
,Colorado,08,64 years,64,2022,2022,67895
Total,Colorado,08,64 years,64,,,202141
,Colorado,08,65 years,65,2020,2020,64566
,Colorado,08,65 years,65,2021,2021,65138
,Colorado,08,65 years,65,2022,2022,66535
Total,Colorado,08,65 years,65,,,196239
,Colorado,08,66 years,66,2020,2020,62521
,Colorado,08,66 years,66,2021,2021,63490
,Colorado,08,66 years,66,2022,2022,63634
Total,Colorado,08,66 years,66,,,189645
,Colorado,08,67 years,67,2020,2020,60346
,Colorado,08,67 years,67,2021,2021,61317
,Colorado,08,67 years,67,2022,2022,61989
Total,Colorado,08,67 years,67,,,183652
,Colorado,08,68 years,68,2020,2020,58005
,Colorado,08,68 years,68,2021,2021,59310
,Colorado,08,68 years,68,2022,2022,59968
Total,Colorado,08,68 years,68,,,177283
,Colorado,08,69 years,69,2020,2020,54614
,Colorado,08,69 years,69,2021,2021,56914
,Colorado,08,69 years,69,2022,2022,57975
