Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alabama,01,30 years,30,2021,2021,69072
,Alabama,01,30 years,30,2022,2022,67624
Total,Alabama,01,30 years,30,,,205684
,Alabama,01,31 years,31,2020,2020,65942
,Alabama,01,31 years,31,2021,2021,69252
,Alabama,01,31 years,31,2022,2022,69279
Total,Alabama,01,31 years,31,,,204473
,Alabama,01,32 years,32,2020,2020,63381
,Alabama,01,32 years,32,2021,2021,66060
,Alabama,01,32 years,32,2022,2022,69435
Total,Alabama,01,32 years,32,,,198876
,Alabama,01,33 years,33,2020,2020,62208
,Alabama,01,33 years,33,2021,2021,63633
,Alabama,01,33 years,33,2022,2022,66541
Total,Alabama,01,33 years,33,,,192382
,Alabama,01,34 years,34,2020,2020,61960
,Alabama,01,34 years,34,2021,2021,62304
,Alabama,01,34 years,34,2022,2022,63918
Total,Alabama,01,34 years,34,,,188182
,Alabama,01,35 years,35,2020,2020,62244
,Alabama,01,35 years,35,2021,2021,62114
,Alabama,01,35 years,35,2022,2022,62528
Total,Alabama,01,35 years,35,,,186886
,Alabama,01,36 years,36,2020,2020,61126
,Alabama,01,36 years,36,2021,2021,62364
,Alabama,01,36 years,36,2022,2022,62445
Total,Alabama,01,36 years,36,,,185935
,Alabama,01,37 years,37,2020,2020,62178
,Alabama,01,37 years,37,2021,2021,60994
,Alabama,01,37 years,37,2022,2022,62452
Total,Alabama,01,37 years,37,,,185624
,Alabama,01,38 years,38,2020,2020,62831
,Alabama,01,38 years,38,2021,2021,62328
,Alabama,01,38 years,38,2022,2022,61319
Total,Alabama,01,38 years,38,,,186478
,Alabama,01,39 years,39,2020,2020,62741
,Alabama,01,39 years,39,2021,2021,62740
,Alabama,01,39 years,39,2022,2022,62361
Total,Alabama,01,39 years,39,,,187842
,Alabama,01,40 years,40,2020,2020,63003
,Alabama,01,40 years,40,2021,2021,62798
,Alabama,01,40 years,40,2022,2022,62913
Total,Alabama,01,40 years,40,,,188714
,Alabama,01,41 years,41,2020,2020,60982
,Alabama,01,41 years,41,2021,2021,63259
,Alabama,01,41 years,41,2022,2022,63129
Total,Alabama,01,41 years,41,,,187370
